Epoch 1 | Total parameters: 30.14M | Test Loss: 2.6353 | Test Accuracy: 51.81% | Accuracy/M params: 0.0172 | Train Loss: 3.3678 | Train Accuracy: 42.99% | Time: 1h 0m 9s | Tokens/sec: 12794.14 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 2 | Total parameters: 30.14M | Test Loss: 2.3341 | Test Accuracy: 55.64% | Accuracy/M params: 0.0185 | Train Loss: 2.3987 | Train Accuracy: 54.82% | Time: 0h 59m 30s | Tokens/sec: 12932.54 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 3 | Total parameters: 30.14M | Test Loss: 2.1851 | Test Accuracy: 57.93% | Accuracy/M params: 0.0192 | Train Loss: 2.1685 | Train Accuracy: 57.94% | Time: 0h 59m 41s | Tokens/sec: 12891.90 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 4 | Total parameters: 30.14M | Test Loss: 2.1101 | Test Accuracy: 59.14% | Accuracy/M params: 0.0196 | Train Loss: 2.0401 | Train Accuracy: 59.71% | Time: 0h 59m 49s | Tokens/sec: 12863.60 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 5 | Total parameters: 30.14M | Test Loss: 2.0489 | Test Accuracy: 60.01% | Accuracy/M params: 0.0199 | Train Loss: 1.9547 | Train Accuracy: 60.92% | Time: 0h 59m 41s | Tokens/sec: 12892.33 | Peak VRAM: 10.57GB | Grad Norm: nan
Epoch 6 | Total parameters: 30.14M | Test Loss: 2.0191 | Test Accuracy: 60.62% | Accuracy/M params: 0.0201 | Train Loss: 1.8910 | Train Accuracy: 61.84% | Time: 0h 59m 56s | Tokens/sec: 12838.03 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 7 | Total parameters: 30.14M | Test Loss: 1.9803 | Test Accuracy: 61.14% | Accuracy/M params: 0.0203 | Train Loss: 1.8412 | Train Accuracy: 62.55% | Time: 0h 59m 48s | Tokens/sec: 12865.78 | Peak VRAM: 10.57GB | Grad Norm: nan
Epoch 8 | Total parameters: 30.14M | Test Loss: 1.9575 | Test Accuracy: 61.49% | Accuracy/M params: 0.0204 | Train Loss: 1.8000 | Train Accuracy: 63.14% | Time: 0h 59m 52s | Tokens/sec: 12853.95 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 9 | Total parameters: 30.14M | Test Loss: 1.9398 | Test Accuracy: 61.83% | Accuracy/M params: 0.0205 | Train Loss: 1.7653 | Train Accuracy: 63.64% | Time: 0h 59m 48s | Tokens/sec: 12867.03 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 10 | Total parameters: 30.14M | Test Loss: 1.9287 | Test Accuracy: 61.92% | Accuracy/M params: 0.0205 | Train Loss: 1.7363 | Train Accuracy: 64.07% | Time: 1h 1m 47s | Tokens/sec: 12453.29 | Peak VRAM: 10.57GB | Grad Norm: inf
Epoch 11 | Total parameters: 30.14M | Test Loss: 1.9142 | Test Accuracy: 62.29% | Accuracy/M params: 0.0207 | Train Loss: 1.7107 | Train Accuracy: 64.44% | Time: 1h 0m 42s | Tokens/sec: 12676.55 | Peak VRAM: 10.58GB | Grad Norm: inf
Epoch 12 | Total parameters: 30.14M | Test Loss: 1.9012 | Test Accuracy: 62.17% | Accuracy/M params: 0.0206 | Train Loss: 1.6875 | Train Accuracy: 64.78% | Time: 0h 59m 3s | Tokens/sec: 13031.04 | Peak VRAM: 10.58GB | Grad Norm: inf
Epoch 13 | Total parameters: 30.14M | Test Loss: 1.8993 | Test Accuracy: 62.17% | Accuracy/M params: 0.0206 | Train Loss: 1.6675 | Train Accuracy: 65.09% | Time: 1h 10m 10s | Tokens/sec: 10966.22 | Peak VRAM: 10.58GB | Grad Norm: nan
Epoch 14 | Total parameters: 30.14M | Test Loss: 1.8978 | Test Accuracy: 62.60% | Accuracy/M params: 0.0208 | Train Loss: 1.6447 | Train Accuracy: 65.43% | Time: 0h 59m 7s | Tokens/sec: 13017.65 | Peak VRAM: 10.58GB | Grad Norm: inf
Epoch 15 | Total parameters: 30.14M | Test Loss: 1.8848 | Test Accuracy: 62.47% | Accuracy/M params: 0.0207 | Train Loss: 1.6284 | Train Accuracy: 65.66% | Time: 0h 58m 52s | Tokens/sec: 13070.21 | Peak VRAM: 10.58GB | Grad Norm: inf
Epoch 16 | Total parameters: 30.14M | Test Loss: 1.8895 | Test Accuracy: 62.51% | Accuracy/M params: 0.0207 | Train Loss: 1.6149 | Train Accuracy: 65.86% | Time: 0h 58m 58s | Tokens/sec: 13049.18 | Peak VRAM: 10.58GB | Grad Norm: nan

Epoch 1 | Total parameters: 21.15M | Test Loss: ~2.9081 | Test Accuracy: ~50.44% | missing
Epoch 2 | Total parameters: 21.15M | Test Loss: 2.4281 | Test Accuracy: 54.44% | Accuracy/M params: 0.0257 | Train Loss: 2.5349 | Train Accuracy: 52.82% | Time: 1h 17m 53s | Tokens/sec: 9880.45 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 3 | Total parameters: 21.15M | Test Loss: 2.2870 | Test Accuracy: 56.33% | Accuracy/M params: 0.0266 | Train Loss: 2.2821 | Train Accuracy: 56.29% | Time: 1h 18m 0s | Tokens/sec: 9865.75 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 4 | Total parameters: 21.15M | Test Loss: 2.1962 | Test Accuracy: 57.73% | Accuracy/M params: 0.0273 | Train Loss: 2.1532 | Train Accuracy: 58.09% | Time: 1h 17m 45s | Tokens/sec: 9897.73 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 5 | Total parameters: 21.15M | Test Loss: 2.1372 | Test Accuracy: 58.59% | Accuracy/M params: 0.0277 | Train Loss: 2.0700 | Train Accuracy: 59.25% | Time: 1h 20m 8s | Tokens/sec: 9602.14 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 6 | Total parameters: 21.15M | Test Loss: 2.1043 | Test Accuracy: 59.07% | Accuracy/M params: 0.0279 | Train Loss: 2.0125 | Train Accuracy: 60.08% | Time: 1h 19m 16s | Tokens/sec: 9707.37 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 7 | Total parameters: 21.15M | Test Loss: 2.0692 | Test Accuracy: 59.43% | Accuracy/M params: 0.0281 | Train Loss: 1.9693 | Train Accuracy: 60.70% | Time: 1h 19m 19s | Tokens/sec: 9702.12 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 8 | Total parameters: 21.15M | Test Loss: 2.0471 | Test Accuracy: 59.99% | Accuracy/M params: 0.0284 | Train Loss: 1.9394 | Train Accuracy: 61.14% | Time: 1h 19m 19s | Tokens/sec: 9701.49 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 9 | Total parameters: 21.15M | Test Loss: 2.0278 | Test Accuracy: 60.37% | Accuracy/M params: 0.0285 | Train Loss: 1.9120 | Train Accuracy: 61.54% | Time: 1h 19m 39s | Tokens/sec: 9661.51 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 10 | Total parameters: 21.15M | Test Loss: 2.0171 | Test Accuracy: 60.52% | Accuracy/M params: 0.0286 | Train Loss: 1.8889 | Train Accuracy: 61.89% | Time: 1h 19m 46s | Tokens/sec: 9647.08 | Peak VRAM: 8.46GB | Grad Norm: nan
Epoch 11 | Total parameters: 21.15M | Test Loss: 1.9859 | Test Accuracy: 60.87% | Accuracy/M params: 0.0288 | Train Loss: 1.8695 | Train Accuracy: 62.16% | Time: 1h 20m 22s | Tokens/sec: 9574.71 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 12 | Total parameters: 21.15M | Test Loss: 1.9794 | Test Accuracy: 60.88% | Accuracy/M params: 0.0288 | Train Loss: 1.8399 | Train Accuracy: 62.60% | Time: 1h 18m 8s | Tokens/sec: 9848.41 | Peak VRAM: 8.46GB | Grad Norm: inf
Epoch 13 | Total parameters: 21.15M | Test Loss: 1.9701 | Test Accuracy: 61.14% | Accuracy/M params: 0.0289 | Train Loss: 1.8297 | Train Accuracy: 62.75% | Time: 1h 17m 53s | Tokens/sec: 9880.92 | Peak VRAM: 8.46GB | Grad Norm: nan
Epoch 14 | Total parameters: 21.15M | Test Loss: 1.9491 | Test Accuracy: 61.42% | Accuracy/M params: 0.0290 | Train Loss: 1.8140 | Train Accuracy: 62.99% | Time: 1h 17m 40s | Tokens/sec: 9907.45 | Peak VRAM: 8.46GB | Grad Norm: nan
Epoch 15 | Total parameters: 21.15M | Test Loss: 1.9517 | Test Accuracy: 61.44% | Accuracy/M params: 0.0290 | Train Loss: 1.7994 | Train Accuracy: 63.21% | Time: 1h 17m 46s | Tokens/sec: 9895.28 | Peak VRAM: 8.46GB | Grad Norm: inf
